timestamp,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-06-06 13:55:00,6.9,6.9,6.9,6.9,78.0,0.0,0.0,6.904,6.904,6.9045,139.4,111.7,148.8,0.0
2018-06-06 14:00:00,6.9,6.9,6.9,6.89,690.0,0.0,0.0,6.902,6.904,6.9035,271.0,171.2,168.25,0.02
2018-06-06 14:05:00,6.9,6.93,6.93,6.9,760.6,0.03,0.43,6.906,6.907,6.904,407.72,241.26,190.53,0.03
2018-06-06 14:10:00,6.93,6.93,6.92,6.92,84.4,-0.01,-0.14,6.91,6.909,6.9045,362.6,248.0,186.85,0.0
2018-06-06 14:15:00,6.92,6.92,6.91,6.91,55.0,-0.01,-0.14,6.912,6.909,6.905,333.6,243.92,184.8,0.0
2018-06-06 14:20:00,6.91,6.92,6.92,6.9,427.6,0.01,0.14,6.916,6.91,6.906,403.52,271.46,204.13,0.01
2018-06-06 14:25:00,6.92,6.93,6.92,6.92,483.0,0.0,0.0,6.92,6.911,6.907,362.12,316.56,217.28,0.02
2018-06-06 14:30:00,6.92,6.93,6.92,6.92,109.0,0.0,0.0,6.918,6.912,6.908,231.8,319.76,216.53,0.0
2018-06-06 14:35:00,6.92,6.93,6.91,6.91,174.4,-0.01,-0.14,6.916,6.913,6.9085,249.8,306.2,223.1,0.01
2018-06-06 14:40:00,6.91,6.92,6.91,6.91,139.0,0.0,0.0,6.916,6.914,6.909,266.6,300.1,212.85,0.0
2018-06-06 14:45:00,6.91,6.91,6.9,6.9,234.0,-0.01,-0.14,6.912,6.914,6.909,227.88,315.7,213.7,0.01
2018-06-06 14:50:00,6.9,6.92,6.91,6.9,257.0,0.01,0.14,6.91,6.915,6.9095,182.68,272.4,221.8,0.01
2018-06-06 14:55:00,6.91,6.91,6.9,6.9,738.0,-0.01,-0.14,6.906,6.912,6.9095,308.48,270.14,255.7,0.03
2018-06-06 15:00:00,6.9,6.91,6.91,6.9,348.0,0.01,0.14,6.906,6.911,6.91,343.2,296.5,272.25,0.01
2018-06-07 09:35:00,6.89,6.93,6.91,6.89,420.0,0.02,0.29,6.906,6.911,6.91,399.4,333.0,288.46,0.01
2018-06-07 09:40:00,6.91,6.92,6.89,6.89,419.0,-0.02,-0.29,6.904,6.908,6.909,436.4,332.14,301.8,0.01
2018-06-07 09:45:00,6.89,6.91,6.9,6.89,80.0,0.01,0.15,6.902,6.906,6.9085,401.0,291.84,304.2,0.0
2018-06-07 09:50:00,6.9,6.93,6.92,6.9,1392.39,0.02,0.29,6.906,6.906,6.909,531.88,420.18,369.97,0.05
2018-06-07 09:55:00,6.92,6.95,6.95,6.91,781.0,0.03,0.43,6.914,6.91,6.9115,618.48,480.84,393.52,0.03
2018-06-07 10:00:00,6.95,6.95,6.93,6.92,428.0,-0.02,-0.29,6.918,6.912,6.913,620.08,509.74,404.92,0.01
2018-06-07 10:05:00,6.93,6.93,6.93,6.91,334.0,0.0,0.0,6.926,6.915,6.9145,603.08,519.74,417.72,0.01
2018-06-07 10:10:00,6.93,6.93,6.93,6.92,333.0,0.0,0.0,6.932,6.917,6.916,653.68,527.34,399.87,0.01
2018-06-07 10:15:00,6.93,6.95,6.95,6.93,461.0,0.02,0.29,6.938,6.922,6.917,467.4,499.64,384.89,0.02
2018-06-07 10:20:00,6.95,6.95,6.94,6.94,269.0,-0.01,-0.14,6.936,6.925,6.918,365.0,491.74,394.12,0.01
2018-06-07 10:25:00,6.94,6.95,6.95,6.94,566.0,0.01,0.14,6.94,6.929,6.92,392.6,506.34,419.67,0.02
2018-06-07 10:30:00,6.95,6.95,6.95,6.94,271.0,0.0,0.0,6.944,6.935,6.9215,380.0,491.54,411.84,0.01
2018-06-07 10:35:00,6.95,6.95,6.94,6.94,785.0,-0.01,-0.14,6.946,6.939,6.9225,470.4,562.04,426.94,0.03
2018-06-07 10:40:00,6.94,6.95,6.94,6.94,959.0,0.0,0.0,6.944,6.941,6.9235,570.0,518.7,469.44,0.03
2018-06-07 10:45:00,6.94,6.94,6.94,6.93,183.0,0.0,0.0,6.944,6.94,6.925,552.8,458.9,469.87,0.01
2018-06-07 10:50:00,6.94,6.94,6.93,6.93,194.0,-0.01,-0.14,6.94,6.94,6.926,478.4,435.5,472.62,0.01
2018-06-07 10:55:00,6.93,6.94,6.94,6.93,55.0,0.01,0.14,6.938,6.941,6.928,435.2,407.6,463.67,0.0
2018-06-07 11:00:00,6.94,6.94,6.94,6.93,306.0,0.0,0.0,6.938,6.942,6.9295,339.4,404.9,466.12,0.01
2018-06-07 11:05:00,6.94,6.94,6.94,6.93,122.0,0.0,0.0,6.938,6.941,6.9315,172.0,371.0,435.32,0.0
2018-06-07 11:10:00,6.94,6.94,6.93,6.93,161.0,-0.01,-0.14,6.936,6.94,6.9325,167.6,360.2,425.97,0.01
2018-06-07 11:15:00,6.93,6.94,6.94,6.93,251.0,0.01,0.14,6.938,6.939,6.934,179.0,328.7,417.52,0.01
2018-06-07 11:20:00,6.94,6.94,6.93,6.93,61.0,-0.01,-0.14,6.936,6.937,6.936,180.2,307.7,399.62,0.0
2018-06-07 11:25:00,6.93,6.93,6.92,6.92,126.0,-0.01,-0.14,6.932,6.935,6.937,144.2,241.8,401.92,0.0
2018-06-07 11:30:00,6.92,6.92,6.91,6.91,121.0,-0.01,-0.14,6.926,6.932,6.9365,144.0,158.0,338.35,0.0
2018-06-07 13:05:00,6.91,6.93,6.93,6.91,163.0,0.02,0.29,6.926,6.931,6.9355,144.4,156.0,307.45,0.01
2018-06-07 13:10:00,6.93,6.93,6.91,6.91,86.0,-0.02,-0.29,6.92,6.929,6.9345,111.4,145.2,290.35,0.0
2018-06-07 13:15:00,6.91,6.91,6.9,6.9,388.0,-0.01,-0.14,6.914,6.925,6.933,176.8,178.5,293.05,0.01
2018-06-07 13:20:00,6.9,6.9,6.9,6.9,87.0,0.0,0.0,6.91,6.921,6.9315,169.0,156.6,280.75,0.0
2018-06-07 13:25:00,6.9,6.91,6.9,6.9,75.0,0.0,0.0,6.908,6.917,6.929,159.8,151.9,261.45,0.0
2018-06-07 13:30:00,6.9,6.9,6.9,6.9,20.0,0.0,0.0,6.902,6.914,6.927,131.2,137.8,249.0,0.0
